name_last,name_first,key_mlbam,key_retro,key_bbref,key_fangraphs,mlb_played_first,mlb_played_last
peraza,oswald,672724,perao002,perazos02,22823,2022,2025
yates,kirby,489446,yatek001,yateski01,9073,2014,2025
boesch,brennan,453269,boesb001,boescbr01,914,2010,2015
ryan,brendan,453895,ryanb002,ryanbr01,6073,2007,2016
vivas,jorbit,678391,vivaj001,vivasjo01,-1,2025,2025
nelson,chris,455126,nelsc001,nelsoch01,8175,2010,2014
bader,harrison,664056,badeh001,baderha01,18030,2017,2025
bauers,jake,641343,bauej001,bauerja01,15194,2018,2025
pérez,eury,516811,peree003,perezeu01,10299,2012,2015
sánchez,gary,596142,sancg002,sanchga02,11442,2015,2025
pineda,michael,501381,pinem001,pinedmi01,5372,2011,2022
eovaldi,nathan,543135,eovan001,eovalna01,9132,2011,2025
smith,kevin,675656,smitk003,smithke05,20242,2021,2024
tauchman,mike,643565,taucm001,tauchmi01,15274,2017,2025
taillon,jameson,592791,tailj001,taillja01,11674,2016,2025
odor,rougned,596059,odorr001,odorro01,12282,2014,2023
frazier,clint,640449,frazc001,frazicl01,15983,2017,2023
voit,luke,572228,voitl001,voitlu01,14811,2017,2023
canó,robinson,429664,canor001,canoro01,3269,2005,2022
davis,jonathan,641505,davij007,davisjo05,15104,2018,2023
frazier,todd,453943,frazt001,frazito01,785,2011,2021
green,chad,643338,greec003,greench03,15552,2016,2025
grisham,trent,663757,grist001,grishtr01,18564,2019,2025
nieves,wil,408242,nievw001,nievewi01,1556,2002,2015
hicks,aaron,543305,hicka001,hicksaa01,5297,2013,2024
joseph,corban,543377,josec001,josepco01,5503,2013,2019
gray,sonny,543243,grays001,grayso01,12768,2013,2025
kluber,corey,446372,klubc001,klubeco01,2429,2011,2023
clippard,tyler,461325,clipt001,clippty01,5640,2007,2022
brantly,rob,542963,branr002,brantro01,10655,2012,2025
brignac,reid,458582,brigr001,brignre01,8380,2008,2016
rodriguez,alex,121347,rodra001,rodrial01,1274,1994,2016
jones,jahmai,663330,jonej007,jonesja08,18872,2020,2025
garcía,jaime,448802,garcj004,garcija02,8137,2008,2018
maybin,cameron,457727,maybc001,maybica01,5223,2007,2021
sizemore,scott,502003,sizes001,sizemsc01,2881,2010,2014
lamarre,ryan,534606,lamar001,lamarry01,10700,2015,2021
ackley,dustin,554429,ackld001,ackledu01,10099,2011,2016
montgomery,jordan,656756,montj004,montgjo01,16511,2017,2024
gregorius,didi,544369,gregd001,gregodi01,6012,2012,2022
prado,martín,445988,pradm001,pradoma01,3312,2006,2019
reynolds,mark,448602,reynm001,reynoma01,7619,2007,2019
gallo,joey,608336,gallj002,gallojo01,14128,2015,2024
slater,austin,596103,slata001,slateau01,16153,2017,2025
petit,gregorio,463610,petig001,petitgr01,3812,2008,2018
kiner-falefa,isiah,643396,kinei001,kineris01,16512,2018,2025
solano,donovan,456781,solad001,solando01,8623,2012,2025
mckinney,billy,641856,mckib001,mckinbi01,15654,2018,2025
núñez,eduardo,456488,nunee002,nunezed02,6848,2010,2020
davis,j. d.,605204,davij006,davisjd01,16219,2017,2025
wells,austin,669224,wella002,wellsau01,27562,2023,2025
teixeira,mark,407893,teixm001,teixema01,1281,2003,2016
torreyes,ronald,591720,torrr001,torrero01,11400,2015,2021
montero,jesús,524968,montj003,monteje01,5514,2011,2015
heathcott,slade,571761,heats001,heathsl01,10336,2015,2015
solarte,yangervis,500208,solay001,solarya01,5352,2014,2019
wilson,justin,458677,wilsj004,wilsoju10,4301,2012,2025
trammell,taylor,666211,tramt001,trammta01,19960,2021,2025
betances,dellin,476454,betad001,betande01,6216,2011,2021
carter,chris,474892,cartc002,cartech02,9911,2010,2017
figueroa,cole,502676,figuc001,figueco01,8790,2014,2016
gearrin,cory,518715,gearc001,gearrco01,7947,2011,2020
soto,juan,665742,sotoj001,sotoju01,20123,2018,2025
severino,luis,622663,sevel001,severlu01,15890,2015,2025
granderson,curtis,434158,granc001,grandcu01,4747,2004,2019
paxton,james,572020,paxtj001,paxtoja01,11828,2013,2024
chapman,aroldis,547973,chapa001,chapmar01,10233,2010,2025
davis,ike,477195,davii001,davisik02,8433,2010,2016
flores,ramón,570717,florr003,florera02,11165,2015,2017
encarnación,edwin,429665,encae001,encared01,2151,2005,2020
anna,dean,542883,annad001,annade01,8353,2014,2015
drew,stephen,452220,drews001,drewst01,4251,2006,2017
navarro,dioner,425900,navad001,navardi01,3179,2004,2016
miller,andrew,453192,milla002,millean01,6785,2006,2021
suzuki,ichiro,400085,suzui001,suzukic01,1101,2001,2019
ford,mike,645801,fordm002,fordmi01,15585,2019,2024
robertson,david,502085,robed002,roberda08,8241,2008,2025
allen,greg,656185,alleg002,allengr01,16623,2017,2025
loáisiga,jonathan,642528,loaij001,loaisjo01,19753,2018,2025
burnett,a. j.,150359,burna001,burnea.01,512,1999,2015
lynn,lance,458681,lynnl001,lynnla01,2520,2011,2024
berti,jon,542932,bertj001,bertijo01,12037,2018,2025
chisholm,jazz,665862,chisj001,chishja01,20454,2020,2025
cervelli,francisco,465041,cervf001,cervefr01,5275,2008,2020
stewart,chris,455755,stewc001,stewach01,3878,2006,2018
gardner,brett,458731,gardb001,gardnbr01,9927,2008,2021
mccutchen,andrew,457705,mccua001,mccutan01,9847,2009,2025
morales,kendrys,434778,morak001,moralke01,8610,2006,2019
young,chris,455759,younc004,youngch04,3882,2006,2018
estrada,thairo,642731,estrt001,estrath01,16426,2019,2025
beltrán,carlos,136860,beltc001,beltrca01,589,1998,2017
butler,billy,456714,butlb003,butlebi03,7399,2007,2016
mitchell,bryan,571951,mitcb001,mitchbr01,11479,2014,2021
kratz,erik,456124,krate001,kratzer01,4403,2010,2020
trevino,jose,624431,trevj001,trevijo01,16725,2018,2025
melancon,mark,453343,melam001,melanma01,4264,2009,2022
peña,ramiro,455369,penar002,penara02,8841,2009,2016
holliday,matt,407812,hollm001,hollima01,1873,2004,2018
choate,randy,329092,choar001,choatra01,813,2000,2015
hawkins,latroy,115629,hawkl001,hawkila01,729,1995,2015
